epoch,lr,train loss,train acc,test loss,test acc
0,0.5,2.3367760619338678,13.484,2.27581601240197,16.98
1,0.5,2.116727729232944,25.382,1.981862987790789,30.2
2,0.5,1.9171381337302071,31.604,1.83862697591587,34.56
3,0.5,1.811127918107169,35.052,1.7625173378963859,36.66
4,0.5,1.764635149313479,37.274,1.7421396289552962,38.38
5,0.5,1.7411137819290161,38.664,1.7238656355410207,39.53
6,0.5,1.7192886508240992,39.684,1.7061049986858756,40.31
7,0.5,1.6962866758813664,40.568,1.6808157234775776,41.13
8,0.5,1.675949824099638,41.278,1.6648772468372268,41.56
9,0.5,1.661261181442105,41.658,1.6476936875557413,42.54
10,0.5,1.6437207095477047,42.372,1.6400744623067427,43.02
11,0.5,1.6327864612851823,42.696,1.6263341076520024,43.3
12,0.5,1.6179866644800927,43.212,1.6226024700670827,43.68
13,0.5,1.6083134680378193,43.596,1.610877207347325,44.25
14,0.5,1.5993988708573945,44.06,1.6095530135290963,44.92
15,0.5,1.5941590922219413,44.36,1.592844926581091,45.13
16,0.5,1.5892485964054963,44.596,1.5867667319823284,45.08
17,0.5,1.5852659332508943,44.91,1.5841730833053589,45.06
18,0.5,1.5815648764980084,45.136,1.5772972009619888,45.12
19,0.5,1.5782903603145055,45.316,1.57678053330402,45.18
20,0.5,1.5735856197318252,45.62,1.5841521876198905,45.5
21,0.5,1.570793704110749,45.706,1.5859725645610265,45.99
22,0.5,1.5709559090283451,45.888,1.5804663045065743,46.02
23,0.5,1.5653811376921984,45.882,1.5866302105845238,45.57
24,0.5,1.5628464513895464,46.006,1.5937078510011946,45.66
25,0.5,1.562477810042245,46.05,1.610814196722848,45.42
26,0.5,1.5637704912497072,45.878,1.5816251185475563,46.01
27,0.5,1.5611943347113473,46.142,1.56463352514773,46.43
28,0.5,1.5565864796541176,46.236,1.5772440068575801,46.11
29,0.5,1.5558812642584041,46.3,1.5834303486103913,45.95
30,0.5,1.5548613679652312,46.51,1.5593431531166544,46.65
31,0.5,1.5509489409777584,46.682,1.5596372351354482,46.75
32,0.5,1.5458508510978854,46.936,1.552161311616703,47.02
33,0.5,1.54561862167047,46.972,1.5421849440555184,47.21
34,0.5,1.5436267366214675,47.074,1.5455585377556937,47.37
35,0.5,1.541368664527426,47.156,1.5558132711721926,47.12
36,0.5,1.5400514602661133,47.302,1.553604354663771,47.03
37,0.5,1.5378426994596208,47.414,1.5488654764331118,47.31
38,0.5,1.5341466130042563,47.416,1.552422126945184,47.18
39,0.5,1.5317380185029945,47.55,1.549205977089551,47.38
40,0.5,1.5265283949521122,47.74,1.551252438097584,47.46
41,0.5,1.5218134850871807,47.852,1.5598326556536617,47.31
42,0.5,1.5176728574597105,47.98,1.5641330650874548,47.21
43,0.5,1.5141471064820582,48.038,1.5601139676814177,47.25
44,0.5,1.5115065380018584,48.116,1.5614654409642121,47.16
45,0.5,1.511038884824636,48.182,1.5560935638388809,46.98
46,0.5,1.5078024474941953,48.318,1.5541204992605715,47.02
47,0.5,1.505452270410499,48.356,1.5552809676345514,46.97
48,0.5,1.505248797183134,48.428,1.552156686782837,47.15
49,0.5,1.5036443909820245,48.542,1.5496138090990028,47.03
50,0.5,1.5024050352524738,48.434,1.5486831713695914,47.12
51,0.5,1.5012928271780208,48.42,1.546886826048092,47.1
52,0.5,1.4990499019622803,48.53,1.5516902621911497,46.91
53,0.5,1.498506093511776,48.64,1.5502709953152403,46.86
54,0.5,1.4977827339756244,48.778,1.5458001847169838,47.1
55,0.5,1.496785200372034,48.786,1.5441264668289496,47.11
56,0.5,1.4971173685424182,48.78,1.5413430077689034,47.41
57,0.5,1.4965371890943877,48.822,1.5471910262594417,47.43
58,0.5,1.497453404932606,48.782,1.5436288921200498,47.58
59,0.5,1.496919897137856,48.806,1.541008737622475,47.72
60,0.5,1.4975873304873097,48.772,1.542213619971762,47.65
61,0.5,1.4980814335297565,48.714,1.5394121651746788,47.68
62,0.5,1.4973856040409632,48.674,1.5376878441596518,47.77
63,0.5,1.496658753375618,48.672,1.537255917276655,47.68
64,0.5,1.497189431774373,48.698,1.540282704392258,47.65
65,0.5,1.4982689473093773,48.584,1.534867593220302,47.87
66,0.5,1.497976541519165,48.708,1.5393644595632747,47.75
67,0.5,1.4978490897587367,48.81,1.5375392947878157,47.61
68,0.5,1.4969370024544852,48.832,1.5394663591774143,47.51
69,0.5,1.4974268334252494,48.824,1.545754600544365,47.71
70,0.5,1.497668509580651,48.896,1.5519875944877157,47.59
71,0.5,1.497445534686653,48.874,1.5543331905287139,47.63
72,0.5,1.496855957167489,48.946,1.554566283615268,47.71
73,0.5,1.4971783282805462,48.996,1.5609935765363732,47.56
74,0.5,1.4983480025310905,48.974,1.569790073803493,47.51
75,0.5,1.500063652894935,48.91,1.5754913237630104,47.25
76,0.5,1.5005645484340435,48.922,1.5741766910163724,47.25
77,0.5,1.502471765693353,48.898,1.5329312134762199,47.83
78,0.5,1.4944169691630773,49.132,1.540157184308889,47.86
79,0.5,1.494821952313793,49.094,1.5497958635797306,47.64
80,0.5,1.4957605284087512,49.12,1.5480497880857818,47.82
81,0.5,1.4948229059881093,49.108,1.5424995495348561,47.96
82,0.5,1.4932683390014025,49.244,1.5384882226282237,48.23
83,0.5,1.492503141870304,49.202,1.5385795491082328,48.1
84,0.5,1.4930845985607224,49.242,1.5435376994463863,48.16
85,0.5,1.4952605476184768,49.154,1.5359219945206934,48.27
86,0.5,1.4948042728462998,49.094,1.5262288803956947,48.26
87,0.5,1.492736543927874,49.048,1.5275793902728023,48.16
88,0.5,1.4952109638525515,49.014,1.5186315555961765,48.49
89,0.5,1.493569760906453,49.074,1.5170254926292264,48.61
90,0.5,1.4935435664897063,49.066,1.51670304853089,48.67
91,0.5,1.4930183619869,49.132,1.515572956630162,48.71
92,0.5,1.4919228675414105,49.108,1.5160498984005986,48.5
93,0.5,1.4927524790471913,49.058,1.5093348610157868,48.78
94,0.5,1.49069175671558,49.078,1.5090889054901746,48.94
95,0.5,1.49035771525636,49.166,1.5066149186114877,48.86
96,0.5,1.4893911930979515,49.122,1.5028616871152605,49.29
97,0.5,1.4876575591612835,49.176,1.5023402729812934,49.09
98,0.5,1.4868344725394735,49.222,1.5039594951941042,49.18
