epoch,lr,train loss,train acc,test loss,test acc,
,,,,,,
93,0.0008,1.759793892,37.528,1.753661173,37.35,
,,,,,,
94,0.0008,1.759759961,37.542,1.753577208,37.31,
,,,,,,
95,0.0008,1.759733991,37.534,1.753535524,37.34,
,,,,,,
96,0.0008,1.759716783,37.522,1.753533105,37.35,
,,,,,,
97,0.0008,1.759668066,37.524,1.753456108,37.35,
,,,,,,
98,0.0008,1.759622739,37.512,1.753415259,37.37,
,,,,,,
99,0.0008,1.759570886,37.534,1.75345795,37.33,
