epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.380707229872882,2.4246878526475695,13.345,19.49
1,2.368889422917771,2.430753038194444,14.89,20.48
2,2.40552378715903,2.6093436957465275,15.72,10.0
3,2.350524503028998,2.611220675998264,13.738333333333333,10.0
4,2.349457132630429,2.6169698621961803,16.746666666666666,10.0
5,2.405255480750132,2.6005406087239584,14.015,10.0
6,2.363563822083554,2.6001804741753474,13.996666666666666,15.85
7,2.361904838949947,2.455060438368056,14.353333333333333,23.85
8,2.4391240813691732,2.5194976942274305,14.366666666666667,17.22
9,2.380830462956833,2.610428738064236,15.208333333333334,10.0
10,2.3623393865035758,2.19938197157118,16.07,36.19
11,2.37602978515625,2.6035217556423613,16.496666666666666,10.0
12,2.442899771997484,2.590705159505208,13.213333333333333,10.0
13,2.347579449152543,2.5294666612413197,15.238333333333333,18.94
14,2.385651317531779,2.607182156032986,12.641666666666667,10.0
15,2.356834261619439,2.607263726128472,14.751666666666667,10.0
16,2.3918011847027274,2.609677273220486,13.406666666666666,10.06
17,2.373001446222855,2.607574924045139,13.821666666666667,10.0
18,2.4306566762116,2.6154673936631947,13.711666666666666,10.0
19,2.391119244074417,2.611828070746528,15.006666666666666,10.0
20,2.360918707378841,2.599113471137153,14.773333333333333,10.0
21,2.3930143525721657,1.9579879692925348,13.513333333333334,39.01
22,2.374924035023834,2.604698974609375,16.673333333333332,10.0
23,2.3674558995133745,2.506522759331597,13.978333333333333,30.01
24,2.3995817581435386,2.60879673936632,15.978333333333333,10.0
25,2.3927915308030987,2.3027232801649307,15.388333333333334,34.14
26,2.4100244016485695,2.608994032118056,14.625,10.0
27,2.37154676120564,2.44449546983507,15.288333333333334,28.72
28,2.3708691033832103,2.616235866970486,14.573333333333334,10.0
29,2.361047371557203,2.561123996310764,14.84,10.03
30,2.3798122703422937,2.5082115885416667,17.445,19.66
31,2.389686693094544,2.4223956705729166,15.05,19.29
32,2.353337013373941,2.426453233506945,17.618333333333332,22.99
33,2.3896873820676645,2.6054790852864587,13.716666666666667,10.0
34,2.3876679749569645,2.6057319064670135,14.126666666666667,10.0
35,2.3680468812069644,2.6061265462239582,14.26,10.0
36,2.363435054455774,2.6144870334201396,15.355,10.0
37,2.3618056495795825,2.60960267469618,14.158333333333333,10.0
38,2.397660735566738,2.267003879123264,15.378333333333334,46.44
39,2.358236475023172,2.4960052354600695,18.493333333333332,19.54
40,2.383100819733183,2.616798719618055,13.663333333333334,10.0
41,2.328197139416711,2.5168370768229162,17.486666666666668,25.56
42,2.326107899811308,2.5716400010850693,18.575,13.4
43,2.3615558750993113,2.6121136610243054,15.765,10.0
44,2.380925835043697,2.597407172309028,13.63,10.0
45,2.3746605597027277,2.5935754394531245,14.926666666666666,10.0
46,2.443549366061971,2.3556727973090275,13.725,22.74
47,2.437824404958951,2.611928493923611,12.563333333333333,10.0
48,2.356520100221796,2.459967068142361,16.341666666666665,21.6
49,2.3575159601761118,2.3629701877170137,14.316666666666666,30.07
50,2.3555226243875795,2.3687035861545143,14.86,19.3
51,2.3637474985930873,2.613558919270833,14.773333333333333,10.0
52,2.349679106114274,3.547235622829861,15.505,10.26
53,2.394350087311308,2.6083476833767367,14.49,10.0
54,2.4118859635692536,2.597957953559027,14.56,10.0
55,2.3679101272841634,2.607959988064236,15.525,10.0
56,2.39282463047868,2.6086497938368054,14.25,10.0
57,2.362781109308793,6.284616265190973,15.231666666666667,10.59
58,2.3972528055481983,2.608883463541667,16.336666666666666,10.0
59,2.3772478937698627,2.610758382161458,14.403333333333334,10.0
60,2.3943907077595328,2.6156416286892368,14.051666666666666,10.0
61,2.366101674225371,2.417222249348958,13.218333333333334,27.08
62,2.3595142656746564,2.6045502658420134,16.77,10.0
63,2.3899177846100366,2.6073096788194445,14.453333333333333,10.0
