epoch,lr,train loss,train acc,test loss,test acc
0,0.5,2.2302278645184574,17.464,2.079303189199798,22.66
1,0.5,1.9844856675790281,28.502,1.906725109839926,30.51
2,0.5,1.8580746091141993,33.31,1.7994541708303957,35.54
3,0.5,1.776984684321345,36.842,1.7525799250116154,37.54
4,0.5,1.7397936533908456,38.208,1.722981066119914,38.44
5,0.5,1.7309634417903668,38.846,1.704702048885579,39.6
6,0.5,1.7274078276692604,39.464,1.699619823572587,40.79
7,0.5,1.7254681562890812,39.886,1.688444351663395,41.3
8,0.5,1.7230480739048548,40.088,1.691999406230693,41.32
9,0.5,1.7174184565641442,40.322,1.6840381816941865,41.65
10,0.5,1.7112923082040281,40.804,1.6843433769381777,41.68
11,0.5,1.707742479382729,41.136,1.6831580716736463,42.14
12,0.5,1.701725105850064,41.762,1.6835249273144468,42.3
13,0.5,1.6978621872103945,42.182,1.6821864600084266,42.78
14,0.5,1.694676160812378,42.462,1.683016567814107,42.95
15,0.5,1.6908184606201795,42.59,1.6820330790110998,43.14
16,0.5,1.6853333468339882,42.86,1.6828665781994254,43.1
17,0.5,1.6792665306402712,42.928,1.6821872141896461,43.25
18,0.5,1.673722731823824,43.252,1.6859080864458669,43.53
19,0.5,1.6697499703387826,43.424,1.6907235456972707,43.62
20,0.5,1.6660598029895706,43.634,1.6911362871831777,43.62
21,0.5,1.6624174361326256,43.82,1.6863310701993046,43.78
22,0.5,1.661882505124929,43.772,1.6895298203643487,43.5
23,0.5,1.6607338360377721,43.882,1.688444828500553,43.45
24,0.5,1.6605474121716557,43.866,1.6896618337047344,43.44
25,0.5,1.6619698466086874,43.836,1.6898958780327622,43.33
26,0.5,1.6612967374373455,43.864,1.6881264642793306,43.25
27,0.5,1.659233317083242,43.812,1.6810463910200157,43.29
28,0.5,1.6581519039309756,43.906,1.6822453639945205,43.23
29,0.5,1.656214173959226,44.102,1.6788082414743852,43.42
30,0.5,1.6576589832500535,44.096,1.677519788547438,43.25
31,0.5,1.6576634523819904,44.054,1.6780044837873809,43.39
32,0.5,1.656923736844744,44.108,1.679055102017461,43.34
33,0.5,1.6569754858406223,44.05,1.6762872764042445,43.37
34,0.5,1.65639028987106,44.15,1.673989901737291,43.4
35,0.5,1.656647691921312,44.154,1.6756266428499806,43.2
36,0.5,1.6568856871857935,44.166,1.671631426227336,43.62
37,0.5,1.6568666526249476,44.138,1.6681242913615948,43.71
38,0.5,1.655683952934888,44.362,1.6672664832095712,43.76
39,0.5,1.6543666221657578,44.438,1.6657336609704154,43.78
40,0.5,1.6517664267092336,44.566,1.66412226521239,43.8
41,0.5,1.6517465941760006,44.588,1.66258362361363,43.73
42,0.5,1.6513854654467837,44.668,1.662308549394413,43.66
43,0.5,1.6525719141473576,44.696,1.6603702160776879,43.76
44,0.5,1.6530525222116588,44.742,1.6602403728329405,43.89
45,0.5,1.6554167854542634,44.71,1.6659838180152737,43.89
46,0.5,1.6555372500906185,44.834,1.667296188218253,43.91
47,0.5,1.655384207258419,44.786,1.6706454461934614,43.89
48,0.5,1.6543467799011542,44.86,1.6704091441874602,43.95
49,0.5,1.6559283587397362,44.756,1.6737866596299775,43.81
50,0.5,1.6552611784059175,44.73,1.6699589685517915,44.01
51,0.5,1.6528095688138689,44.79,1.6656189670368118,44.32
52,0.5,1.6531417199543543,44.942,1.6637362898612509,44.16
53,0.5,1.6525110298273515,44.91,1.6597690630932243,44.07
54,0.5,1.6509623965438531,44.936,1.6599053898636176,44.11
55,0.5,1.6488967720343142,44.896,1.6591729728543028,44.19
56,0.5,1.6468961165875804,44.982,1.6565775919933707,44.42
57,0.5,1.6445735887605317,45.054,1.6554618708941402,44.22
58,0.5,1.6437505970195847,45.174,1.6564330811403236,44.11
59,0.5,1.6415406003290294,45.246,1.65478730931574,44.46
60,0.5,1.6401848330789683,45.346,1.6549618414470129,44.32
61,0.5,1.6396670365820125,45.422,1.6561790291143923,44.32
62,0.5,1.639069333368418,45.406,1.6555595981831452,44.27
63,0.5,1.637634810136289,45.462,1.655633527405408,44.4
64,0.5,1.6362858718755293,45.454,1.653794205918604,44.51
65,0.5,1.6363616403268308,45.454,1.655158821417361,44.4
66,0.5,1.6358519233002955,45.46,1.6520045192874209,44.49
67,0.5,1.6355239980074825,45.49,1.6525328207989127,44.64
68,0.5,1.6351804562977381,45.502,1.6525139905968491,44.6
69,0.5,1.633446722614522,45.55,1.6546416623251778,44.68
70,0.5,1.6324766168788987,45.564,1.653490930187459,44.69
71,0.5,1.6314916318776655,45.516,1.6528877628092864,44.73
72,0.5,1.6304468062459205,45.534,1.6510915756225586,44.88
73,0.5,1.6293518348615996,45.586,1.6496983207001978,44.98
74,0.5,1.6301470630022945,45.606,1.6503591659117718,44.85
75,0.5,1.6295501918208843,45.626,1.6510303288089985,44.87
76,0.5,1.6290922018946434,45.564,1.6507720703981361,44.8
77,0.5,1.6290642704282488,45.576,1.6515100780798464,44.84
78,0.5,1.6291791881833757,45.546,1.6504792291290906,44.76
79,0.5,1.6290915693555559,45.596,1.6499347005571638,44.72
80,0.5,1.6284062692097254,45.608,1.6488158897477754,44.6
81,0.5,1.6280903353983043,45.616,1.6492507701017418,44.71
82,0.5,1.6284932822597271,45.688,1.6496004717690604,44.79
83,0.5,1.6284090961728777,45.68,1.6494831503654013,44.66
84,0.5,1.6288748541656806,45.63,1.6501290457589286,44.78
85,0.5,1.6288877530973784,45.654,1.6506982214596806,44.8
86,0.5,1.6288877336346372,45.654,1.6528323815793406,44.71
87,0.5,1.6292706265741466,45.586,1.6526220258401365,44.71
88,0.5,1.6288090019809955,45.576,1.6537487360895897,44.71
89,0.5,1.6290125506264823,45.594,1.6522101042222004,44.72
90,0.5,1.6289550576891219,45.58,1.6520502859232378,44.74
91,0.5,1.6285806724003382,45.606,1.6522373739553957,44.78
92,0.5,1.6281582384693378,45.608,1.6509576500678549,44.82
93,0.5,1.628432650955356,45.558,1.6507686571199067,44.88
94,0.5,1.6287779516103316,45.554,1.6508382534494206,44.93
95,0.5,1.6296555728328472,45.504,1.649831504237895,44.85
96,0.5,1.6304023849720857,45.488,1.6511977448755382,44.75
97,0.5,1.6305141011062934,45.468,1.6489958349539309,44.77
98,0.5,1.6304702783117488,45.456,1.647920299549492,44.84
99,0.5,1.6302338279023463,45.456,1.647808517728533,44.83
100,0.5,1.6302087063692055,45.414,1.6477551606236671,44.81
101,0.5,1.6303587981632777,45.42,1.6474222844960738,44.73
102,0.5,1.6299381548044634,45.462,1.645453192749802,44.86
103,0.5,1.6285099910230052,45.454,1.6454179554569477,44.92
104,0.5,1.62884314449466,45.444,1.6473157040926876,44.91
105,0.5,1.6290891121844857,45.412,1.6465751370605157,44.84
106,0.5,1.6286774289851287,45.434,1.6458755926210054,45.19
107,0.5,1.6291895715557798,45.456,1.6476210234116535,45.15
108,0.5,1.62897755418505,45.466,1.6481108933078998,45.23
109,0.5,1.6288084059345478,45.472,1.6490435211025938,45.25
110,0.5,1.628758861094105,45.504,1.6491029749111252,45.11
111,0.5,1.6277997250459633,45.51,1.647427734063596,45.13
112,0.5,1.6277351841634633,45.53,1.6452087139596745,45.24
113,0.5,1.6281073093414307,45.622,1.6443744654558143,45.26
114,0.5,1.6279427007753022,45.576,1.643811481339591,45.38
115,0.5,1.6279410707707307,45.568,1.6424874140291799,45.38
116,0.5,1.6276530538286482,45.554,1.6398401333361257,45.6
117,0.5,1.6272248978517494,45.538,1.6414933861518393,45.54
118,0.5,1.6281646952337148,45.584,1.6408470479809507,45.61
119,0.5,1.6294013383437176,45.542,1.6427157046843548,45.47
120,0.1,1.5926184459608428,46.552,1.6042956430084852,46.05
121,0.1,1.5834299520570405,46.706,1.600738608107275,46.15
122,0.1,1.5816100470873775,46.796,1.5996429920196533,46.2
123,0.1,1.580738293881319,46.81,1.59878662897616,46.19
124,0.1,1.58002478249219,46.882,1.598116397857666,46.23
125,0.1,1.5794387617889716,46.9,1.5980430841445923,46.23
126,0.1,1.5790028669396226,46.964,1.597827590241724,46.31
127,0.1,1.5788558210645403,46.998,1.598038133309812,46.26
128,0.1,1.5787893314750827,47.044,1.5980108441138754,46.31
129,0.1,1.5784542341621555,47.102,1.5981256329283422,46.4
130,0.1,1.5785235409833946,47.118,1.59832962435119,46.39
131,0.1,1.578607247800243,47.138,1.5987192100408125,46.36
132,0.1,1.5786064522606986,47.134,1.5986416510173254,46.34
133,0.1,1.5784897123064314,47.126,1.5988474719378414,46.36
134,0.1,1.5785810485178111,47.17,1.5988017612574053,46.35
135,0.1,1.5784535870260121,47.186,1.5989833875578277,46.34
136,0.1,1.5785133473727169,47.166,1.5987293720245361,46.34
137,0.1,1.578523648028471,47.17,1.598728948709916,46.31
138,0.1,1.5785053676488447,47.16,1.5986408652091513,46.36
139,0.1,1.5783383359714431,47.162,1.5985932666428235,46.36
140,0.1,1.5782397985458374,47.16,1.5984350807812748,46.39
141,0.1,1.5780084400760883,47.222,1.5983920340635338,46.44
142,0.1,1.577858219341356,47.216,1.5982830159518184,46.5
143,0.1,1.5777074950081962,47.204,1.5980972513860585,46.44
144,0.1,1.5775354881675876,47.232,1.5980257574392824,46.45
145,0.1,1.5775855268750871,47.232,1.5978235346930367,46.5
146,0.1,1.5774132353918893,47.254,1.5975755136840197,46.56
147,0.1,1.577418176495299,47.238,1.597742501570254,46.54
148,0.1,1.5772859393333902,47.258,1.597933469986429,46.54
149,0.1,1.5772369954050804,47.304,1.5980712248354543,46.56
150,0.1,1.5772468800447426,47.27,1.5979805187303193,46.5
151,0.1,1.577310180177494,47.266,1.5979827034230134,46.53
152,0.1,1.577232993378931,47.266,1.59785372870309,46.55
153,0.1,1.5773020374531648,47.306,1.5977736054634561,46.51
154,0.1,1.5772183233377886,47.314,1.5978240261272507,46.48
155,0.1,1.5770795272321116,47.312,1.5979960597291285,46.44
156,0.1,1.577030485990096,47.34,1.5979121801804523,46.43
157,0.1,1.5771892630324071,47.336,1.5975740393813775,46.44
158,0.1,1.5774361819637066,47.348,1.597387698231911,46.35
159,0.1,1.5772237558754123,47.354,1.5974424712511959,46.42
160,0.1,1.5771924500562706,47.354,1.5975153908437612,46.44
161,0.1,1.5771947709881529,47.342,1.5977155116139625,46.47
162,0.1,1.5771590300968714,47.346,1.597206828545551,46.42
163,0.1,1.577123152966402,47.344,1.5971562716425682,46.48
164,0.1,1.577036935455945,47.34,1.5972071642778358,46.44
165,0.1,1.5769732728296397,47.358,1.5972193284910552,46.47
166,0.1,1.576848256344698,47.34,1.597074413786129,46.46
167,0.1,1.5767862723798167,47.348,1.5967610514893824,46.47
168,0.1,1.57655972850566,47.352,1.5968556890682297,46.47
169,0.1,1.5764810722701403,47.34,1.5970390280898736,46.44
170,0.1,1.5763940251603419,47.312,1.5970325275343291,46.46
171,0.1,1.5763827781287991,47.338,1.5968403816223145,46.45
172,0.1,1.5763858070178909,47.332,1.5969169942700132,46.46
173,0.1,1.5762427534375871,47.32,1.596762255746491,46.44
174,0.1,1.5761261570210359,47.338,1.5965019975389754,46.39
175,0.1,1.5761167954425424,47.324,1.5966247076890907,46.39
176,0.1,1.575998566588577,47.324,1.5964624395175857,46.35
177,0.1,1.5758779048919678,47.324,1.5967910824989786,46.36
178,0.1,1.5759690148489816,47.324,1.5969833062619578,46.35
179,0.1,1.5758915653034133,47.322,1.597021864385021,46.37
180,0.1,1.5757444269803105,47.332,1.5971265666338863,46.42
181,0.1,1.5757699377682743,47.342,1.597147357707121,46.38
182,0.1,1.5757631209431862,47.328,1.5971370254244124,46.4
183,0.1,1.5756994923766778,47.34,1.596844653693997,46.48
184,0.1,1.5755365770690295,47.36,1.5970472073068425,46.5
185,0.1,1.5754542253455337,47.362,1.5968092071766755,46.59
186,0.1,1.5752708595626208,47.374,1.596801013362651,46.56
187,0.1,1.575173545856865,47.376,1.5969057010144603,46.56
188,0.1,1.57509610847551,47.378,1.596963308295425,46.58
189,0.1,1.5750519621128938,47.396,1.5968046723579874,46.62
190,0.1,1.5750190627818206,47.406,1.5966903555149934,46.6
191,0.1,1.5749669002026927,47.394,1.5968707824239925,46.58
192,0.1,1.575047889534308,47.408,1.596876095752327,46.6
193,0.1,1.5749372243881226,47.396,1.5968987138903872,46.57
194,0.1,1.575006248999615,47.422,1.5968690380758168,46.59
195,0.1,1.5749380418232508,47.422,1.5970045741723509,46.57
196,0.1,1.5747567707178545,47.44,1.597216392049984,46.61
197,0.1,1.5746880648087482,47.44,1.596913259856555,46.64
198,0.1,1.574660909419157,47.44,1.5969780902473294,46.62
199,0.1,1.5747093156892427,47.438,1.597299617163989,46.66
200,0.1,1.5748070600081463,47.42,1.5973074898427846,46.64
201,0.1,1.5748411684620136,47.424,1.597016993834048,46.62
202,0.1,1.5748340937556053,47.42,1.5968566938322417,46.62
203,0.1,1.5747661979830996,47.416,1.5970079168981435,46.6
204,0.1,1.5747632055866474,47.424,1.5969999858311243,46.6
205,0.1,1.5748447228451163,47.42,1.5970490635657797,46.61
206,0.1,1.5746347539278926,47.412,1.5968747041663345,46.64
207,0.1,1.5746688039935366,47.382,1.596917590316461,46.65
208,0.1,1.5745900066531435,47.37,1.5969333040470979,46.67
209,0.1,1.5745986578415851,47.388,1.5969492732262125,46.62
210,0.1,1.5745623841577647,47.386,1.5973312197899332,46.66
211,0.1,1.5745349100657873,47.384,1.5973891019821167,46.62
212,0.1,1.5744925980665245,47.416,1.5975514188104747,46.63
213,0.1,1.5744581076563622,47.41,1.597420055039075,46.59
214,0.1,1.574518398362763,47.418,1.597276368919684,46.62
215,0.1,1.5745851774604953,47.45,1.5972758920825258,46.57
216,0.1,1.5744877421126073,47.416,1.5969648239563923,46.59
217,0.1,1.5744398394409491,47.422,1.5968721472487157,46.62
218,0.1,1.5743919610977173,47.456,1.5970775034962867,46.6
219,0.1,1.5745066404342651,47.448,1.5970183002705476,46.64
220,0.1,1.574415669149282,47.454,1.5968313679403188,46.69
221,0.1,1.5743312592409096,47.48,1.5969466919801674,46.63
222,0.1,1.5744330055859623,47.478,1.5968567351905667,46.64
223,0.1,1.574463121745051,47.458,1.5966083930463206,46.7
224,0.1,1.5743462771785504,47.466,1.5965801623402809,46.64
225,0.1,1.5741660035386378,47.48,1.5963815742609453,46.68
226,0.1,1.5741468084101775,47.504,1.5965492287460639,46.69
227,0.1,1.5740640212078483,47.506,1.5963712590081351,46.68
228,0.1,1.5739876275159874,47.512,1.5964791507137066,46.66
229,0.1,1.5740894711747462,47.514,1.5965704747608729,46.7
230,0.1,1.5740546012411312,47.514,1.5963809149605888,46.68
231,0.1,1.573951935281559,47.524,1.5961829740173963,46.7
232,0.1,1.57406877984806,47.516,1.5961076775375678,46.67
233,0.1,1.5741765645085548,47.508,1.5962703373967384,46.66
234,0.1,1.5742117312489723,47.52,1.596401421391234,46.64
235,0.1,1.5742391372213558,47.504,1.5963576131937456,46.65
236,0.1,1.5742710755795848,47.496,1.5963185636364683,46.61
237,0.1,1.5742345829399265,47.504,1.5962811586808185,46.66
238,0.1,1.5741364858588394,47.516,1.5964661179756632,46.71
239,0.1,1.5742086074790176,47.496,1.596576335478802,46.63
240,0.02,1.5647655457866436,47.736,1.5906474468659382,46.63
241,0.02,1.5628993438214671,47.814,1.5901889922667523,46.67
242,0.02,1.5628155007654307,47.824,1.590416628487256,46.66
243,0.02,1.5628519350168657,47.806,1.5906669898908965,46.72
244,0.02,1.562879095272142,47.826,1.5905571129857277,46.72
245,0.02,1.5628953782879575,47.832,1.590562822867413,46.77
246,0.02,1.562908936520012,47.824,1.590599877493722,46.78
247,0.02,1.5628973561890271,47.806,1.590560178367459,46.77
248,0.02,1.5629089340871694,47.82,1.5904920076837346,46.77
249,0.02,1.5629350117274694,47.832,1.5905169637835757,46.77
250,0.02,1.562913519995553,47.838,1.5904911780843929,46.76
251,0.02,1.5629823086213093,47.828,1.590465251280337,46.72
252,0.02,1.5629673636689478,47.83,1.5905539794844024,46.72
253,0.02,1.5630501922296018,47.838,1.5907342312287311,46.71
254,0.02,1.5630518708910262,47.828,1.590639900188057,46.72
255,0.02,1.5630760460483784,47.836,1.5906428414948133,46.76
256,0.02,1.5631078676301606,47.83,1.5906232960370121,46.73
257,0.02,1.5631497222550061,47.854,1.5907469014732205,46.72
258,0.02,1.5631847138307533,47.846,1.5905061303352823,46.73
259,0.02,1.563179804354298,47.84,1.5907357128299013,46.7
260,0.02,1.563199992082557,47.862,1.5906976631709508,46.68
261,0.02,1.5631942213798056,47.864,1.5907138950970707,46.68
262,0.02,1.56325072415021,47.852,1.5907553069445552,46.68
263,0.02,1.563284309542909,47.844,1.5907923591380217,46.7
264,0.02,1.5632920386839886,47.838,1.5909201952875878,46.73
265,0.02,1.563316527678042,47.856,1.59091105996346,46.7
266,0.02,1.5633233104433333,47.852,1.590925781094298,46.73
267,0.02,1.5633696925883391,47.882,1.5909897551244618,46.72
268,0.02,1.5633723857451458,47.852,1.5909447475355498,46.73
269,0.02,1.5634001371811848,47.86,1.59103097721022,46.75
270,0.02,1.5634459938321794,47.856,1.591192432812282,46.74
271,0.02,1.563479472179802,47.856,1.5911945396540117,46.8
